order_id,customer_id,customer_name,segment,category,sub_category,region,market,ship_mode,order_priority,quantity,sales,profit,discount,order_date,state
CA-2016-100001,CV-12805,Cynthia Voltz,Home Office,Furniture,Bookcases,West,LATAM,Standard Class,Low,12,1693.68,-354.49,0.10,2014-04-15,New York
CA-2016-100002,HP-14815,Harold Pawlan,Corporate,Furniture,Bookcases,West,EU,Same Day,High,9,930.78,-351.19,0.45,2015-04-05,Florida
CA-2016-100003,AA-10315,Alex Avila,Corporate,Furniture,Furnishings,West,LATAM,Standard Class,Critical,2,101.82,3.39,0.00,2014-12-19,New York
CA-2015-100004,SN-20710,Stephanie Phelps,Consumer,Office Supplies,Labels,East,US,Same Day,High,10,1001.80,-170.52,0.00,2014-08-22,Ohio
CA-2016-100005,CV-12805,Cynthia Voltz,Consumer,Office Supplies,Binders,East,EU,Second Class,Critical,6,1085.16,60.97,0.20,2015-12-01,Pennsylvania
CA-2015-100006,AG-10270,Alejandro Grove,Corporate,Technology,Copiers,Central,US,Second Class,High,11,1820.72,-93.07,0.00,2014-02-02,Washington
CA-2016-100007,CV-12805,Cynthia Voltz,Home Office,Office Supplies,Paper,Central,LATAM,Same Day,High,11,2553.43,-789.62,0.20,2016-02-02,Washington
CA-2016-100008,AA-10315,Alex Avila,Corporate,Technology,Phones,West,LATAM,Same Day,Critical,2,758.22,-76.32,0.00,2014-06-13,Virginia
CA-2016-100009,AG-10270,Alejandro Grove,Corporate,Technology,Accessories,West,APAC,Same Day,Medium,11,3979.36,-644.38,0.45,2016-02-27,Ohio
CA-2016-100010,CG-12520,Claire Gute,Corporate,Technology,Machines,East,EU,First Class,Medium,9,3439.53,-195.34,0.45,2016-06-10,Virginia
CA-2015-100011,GH-14410,Gary Hansen,Consumer,Furniture,Furnishings,West,EU,Standard Class,Low,8,117.12,20.05,0.20,2016-05-01,Ohio
CA-2016-100012,SO-20335,Sean O'Donnell,Corporate,Technology,Copiers,East,EU,First Class,Critical,3,994.74,-539.81,0.45,2015-06-25,Illinois
CA-2016-100013,TB-21520,Tracy Blumstein,Consumer,Technology,Phones,East,US,Standard Class,Low,2,255.42,5.05,0.00,2015-08-26,Washington
CA-2016-100014,SO-20335,Sean O'Donnell,Consumer,Furniture,Furnishings,South,EU,Same Day,Critical,2,519.02,18.08,0.20,2014-08-08,Washington
CA-2016-100015,BH-11710,Brosina Hoffman,Home Office,Furniture,Tables,West,US,Same Day,High,6,1288.02,79.21,0.30,2014-02-25,New York
CA-2014-100016,PK-19075,Pete Kriz,Consumer,Furniture,Chairs,South,US,Standard Class,Low,9,2043.54,-778.04,0.30,2015-04-19,New York
CA-2015-100017,PK-19075,Pete Kriz,Consumer,Furniture,Tables,South,APAC,Same Day,High,8,1946.16,168.51,0.30,2014-06-18,Pennsylvania
CA-2016-100018,SN-20710,Stephanie Phelps,Home Office,Technology,Phones,West,APAC,Standard Class,Low,3,297.00,97.91,0.10,2015-08-17,North Carolina
CA-2016-100019,MA-17560,Matt Abelman,Consumer,Technology,Copiers,East,LATAM,Standard Class,Medium,1,480.59,169.83,0.00,2014-03-12,North Carolina
CA-2015-100020,RA-19885,Ruben Ausman,Consumer,Furniture,Bookcases,Central,EU,First Class,Critical,7,2312.80,-717.41,0.45,2016-08-15,Texas
